jd_title,candidate_id,candidate_title,final_score,manual_label
Frontend Developer,S_0_0,frontend developer,56.52173913043478,STRONG MATCH
Frontend Developer,S_0_1,frontend developer,56.52173913043478,STRONG MATCH
Frontend Developer,S_0_2,frontend developer,56.52173913043478,STRONG MATCH
Frontend Developer,S_0_3,frontend developer,56.52173913043478,STRONG MATCH
Frontend Developer,S_0_4,frontend developer,56.52173913043478,STRONG MATCH
Frontend Developer,M_0_0,frontend developer,38.26086956521739,MEDIUM MATCH
Frontend Developer,M_0_1,frontend developer,38.26086956521739,MEDIUM MATCH
Frontend Developer,M_0_2,frontend developer,38.26086956521739,MEDIUM MATCH
Frontend Developer,M_0_3,frontend developer,38.26086956521739,MEDIUM MATCH
Frontend Developer,M_0_4,frontend developer,38.26086956521739,MEDIUM MATCH
Frontend Developer,W_0_0,assistant,4.3478260869565215,WEAK MATCH
Frontend Developer,W_0_1,assistant,4.3478260869565215,WEAK MATCH
Frontend Developer,W_0_2,assistant,4.3478260869565215,WEAK MATCH
Frontend Developer,W_0_3,assistant,4.3478260869565215,WEAK MATCH
Frontend Developer,W_0_4,assistant,4.3478260869565215,WEAK MATCH
Backend Engineer,S_1_0,backend engineer,56.52173913043478,STRONG MATCH
Backend Engineer,S_1_1,backend engineer,56.52173913043478,STRONG MATCH
Backend Engineer,S_1_2,backend engineer,56.52173913043478,STRONG MATCH
Backend Engineer,S_1_3,backend engineer,56.52173913043478,STRONG MATCH
Backend Engineer,S_1_4,backend engineer,56.52173913043478,STRONG MATCH
Backend Engineer,M_1_0,backend engineer,38.26086956521739,MEDIUM MATCH
Backend Engineer,M_1_1,backend engineer,38.26086956521739,MEDIUM MATCH
Backend Engineer,M_1_2,backend engineer,38.26086956521739,MEDIUM MATCH
Backend Engineer,M_1_3,backend engineer,38.26086956521739,MEDIUM MATCH
Backend Engineer,M_1_4,backend engineer,38.26086956521739,MEDIUM MATCH
Backend Engineer,W_1_0,assistant,4.3478260869565215,WEAK MATCH
Backend Engineer,W_1_1,assistant,4.3478260869565215,WEAK MATCH
Backend Engineer,W_1_2,assistant,4.3478260869565215,WEAK MATCH
Backend Engineer,W_1_3,assistant,4.3478260869565215,WEAK MATCH
Backend Engineer,W_1_4,assistant,4.3478260869565215,WEAK MATCH
Data Scientist,S_2_0,data scientist,56.52173913043478,STRONG MATCH
Data Scientist,S_2_1,data scientist,56.52173913043478,STRONG MATCH
Data Scientist,S_2_2,data scientist,56.52173913043478,STRONG MATCH
Data Scientist,S_2_3,data scientist,56.52173913043478,STRONG MATCH
Data Scientist,S_2_4,data scientist,56.52173913043478,STRONG MATCH
Data Scientist,M_2_0,data scientist,38.26086956521739,MEDIUM MATCH
Data Scientist,M_2_1,data scientist,38.26086956521739,MEDIUM MATCH
Data Scientist,M_2_2,data scientist,38.26086956521739,MEDIUM MATCH
Data Scientist,M_2_3,data scientist,38.26086956521739,MEDIUM MATCH
Data Scientist,M_2_4,data scientist,38.26086956521739,MEDIUM MATCH
Data Scientist,W_2_0,assistant,4.3478260869565215,WEAK MATCH
Data Scientist,W_2_1,assistant,4.3478260869565215,WEAK MATCH
Data Scientist,W_2_2,assistant,4.3478260869565215,WEAK MATCH
Data Scientist,W_2_3,assistant,4.3478260869565215,WEAK MATCH
Data Scientist,W_2_4,assistant,4.3478260869565215,WEAK MATCH
DevOps Engineer,S_3_0,devops engineer,56.52173913043478,STRONG MATCH
DevOps Engineer,S_3_1,devops engineer,56.52173913043478,STRONG MATCH
DevOps Engineer,S_3_2,devops engineer,56.52173913043478,STRONG MATCH
DevOps Engineer,S_3_3,devops engineer,56.52173913043478,STRONG MATCH
DevOps Engineer,S_3_4,devops engineer,56.52173913043478,STRONG MATCH
DevOps Engineer,M_3_0,devops engineer,38.26086956521739,MEDIUM MATCH
DevOps Engineer,M_3_1,devops engineer,38.26086956521739,MEDIUM MATCH
DevOps Engineer,M_3_2,devops engineer,38.26086956521739,MEDIUM MATCH
DevOps Engineer,M_3_3,devops engineer,38.26086956521739,MEDIUM MATCH
DevOps Engineer,M_3_4,devops engineer,38.26086956521739,MEDIUM MATCH
DevOps Engineer,W_3_0,assistant,4.3478260869565215,WEAK MATCH
DevOps Engineer,W_3_1,assistant,4.3478260869565215,WEAK MATCH
