resume_id,category,character_count,word_count,estimated_layout_type,contains_email,contains_phone,contains_dates,contains_education,contains_experience,contains_skills
16852973,HR,5442,674,single_column,False,False,True,True,True,True
22323967,HR,5572,708,single_column,False,False,True,True,True,True
33176873,HR,7720,1017,single_column,False,False,True,True,True,True
27018550,HR,2855,379,single_column,False,False,True,True,True,True
17812897,HR,9172,1206,single_column,False,False,True,True,True,True
11592605,HR,5480,666,single_column,False,False,True,True,True,True
25824789,HR,5250,637,single_column,False,False,True,True,True,True
15375009,HR,9033,1106,single_column,False,False,True,True,True,True
11847784,HR,6720,796,single_column,False,False,True,True,True,True
32896934,HR,5978,716,single_column,False,False,True,True,True,True
29149998,HR,5356,679,single_column,False,False,True,True,True,True
11480899,HR,8718,1123,single_column,False,False,True,True,True,True
23155093,HR,5766,732,single_column,False,False,True,True,True,True
11763983,HR,5662,715,single_column,False,False,True,True,True,True
27490876,HR,6163,724,single_column,False,False,True,True,True,True
32977530,HR,6007,750,single_column,False,False,True,True,True,True
93002334,HR,5458,701,single_column,False,False,True,True,True,True
24184357,HR,9115,1123,single_column,False,False,True,True,True,True
73077810,HR,5220,642,single_column,False,False,True,True,True,True
13879043,HR,6287,802,single_column,False,False,True,True,True,True
30163002,HR,4938,620,single_column,False,False,True,True,True,True
18827609,HR,8512,1108,single_column,False,False,True,True,True,True
25676643,HR,11326,1510,single_column,False,False,True,True,True,True
12786012,HR,5213,628,single_column,False,False,True,True,True,True
87968870,HR,6195,757,single_column,False,False,True,True,True,True
46258701,HR,4543,612,single_column,False,False,True,True,True,True
14225422,HR,6249,798,single_column,False,False,True,True,True,True
29297973,HR,5754,706,single_column,False,False,True,True,True,True
18334783,HR,5134,643,single_column,False,False,True,True,True,True
19717385,HR,7530,941,single_column,False,False,True,True,True,True
49937469,HR,6349,794,single_column,False,False,True,True,True,True
18316239,HR,6236,776,single_column,False,False,True,True,True,True
17855844,HR,6922,906,single_column,False,False,True,True,True,True
57667857,HR,12715,1552,single_column,False,False,True,True,True,True
17422560,HR,5658,729,single_column,False,False,True,True,True,True
32947778,HR,8163,1015,single_column,False,False,True,True,True,True
23914451,HR,5406,638,single_column,False,False,True,True,True,True
21265194,HR,9383,1213,single_column,False,False,True,True,True,True
51769822,HR,5088,623,single_column,False,False,True,True,True,True
19616406,HR,6439,765,single_column,False,False,True,True,True,True
41523474,HR,5504,724,single_column,False,False,True,True,True,True
59962788,HR,5761,748,single_column,False,False,True,True,True,True
86184722,HR,6681,859,single_column,False,False,True,True,True,True
28419173,HR,6460,840,single_column,False,False,True,True,True,True
18155310,HR,6781,813,single_column,False,False,True,True,True,True
26780935,HR,4589,581,single_column,False,False,True,True,True,True
34554248,HR,7102,896,single_column,False,False,True,True,True,True
26202430,HR,8303,1102,single_column,False,False,True,True,True,True
19867922,HR,5813,659,single_column,False,False,True,True,True,True
91930382,HR,3307,421,single_column,False,False,True,True,True,True
30646367,HR,7695,913,single_column,False,False,True,True,True,True
39650734,HR,7297,917,single_column,False,False,True,True,True,True
72231872,HR,9162,1177,single_column,False,False,True,True,True,True
13520837,HR,6579,825,single_column,False,False,True,True,True,True
18422164,HR,6635,828,single_column,False,False,True,True,True,True
30862904,HR,6889,826,single_column,False,False,True,True,True,True
52979663,HR,5904,750,single_column,False,False,True,True,True,True
28828844,HR,6559,828,single_column,False,False,True,True,True,True
21830565,HR,8400,1066,single_column,False,False,True,True,True,True
27523575,HR,5305,706,single_column,False,False,True,True,True,True
39081840,HR,7652,979,single_column,False,False,True,True,True,True
20925036,HR,7975,1038,single_column,False,False,True,True,True,True
15576950,HR,5372,700,single_column,False,False,True,True,True,True
29564653,HR,5531,714,single_column,False,False,True,True,True,True
14886205,HR,5595,687,single_column,False,False,True,True,True,True
17412079,HR,6586,851,single_column,False,False,True,True,True,True
16861758,HR,5706,748,single_column,False,False,True,True,True,True
93112113,HR,7282,891,single_column,False,False,True,True,True,True
