resume_id,final_title
11759079,director
13072019,manager
80053367,lead
36425270,manager
23636277,analyst
39674178,manager
24703009,manager
14496667,manager
13491889,consultant
18132924,manager
82649935,manager
43685045,lead
28111403,�  l2000  leadership academy
30741799,lead
72652441,manager
17254634,lead
24695561,manager
19234823,manager
40088790,manager
32965335,manager
23577836,director
20765795,*learning to lead certificate
19108760,manager
24068423,consultant
18264694,manager
26070334,batch record coordinator / document control         summary
28733974,manager
19851252,engineer
26921245,lead
62994611,engineer
30344127,engineer
19070271,engineer
20905088,manager
21807211,director
16500168,manager
35121930,engineer
27091280,manager
78273826,manager
14304010,manager
27096796,lead
24349611,manager
73497035,manager
18029935,director
34304175,manager
11995013,lead
99033098,manager
20148147,manager
16887936,manager
36379931,director
33344933,lead
84295343,lead
24592627,manager
15210069,manager
17483843,engineer
36252245,excellent leadership skills
25625173,manager
30148777,manager
11137306,engineer
11333001,manager
27902692,engineer
17008356,manager
12043694,manager
22168194,lead
31536294,engineer
38663892,manager
82738323,lead
21796843,manager
27606527,manager
26987539,manager
25200253,manager
11842348,manager
13393401,manager
15856762,manager
45167858,manager
34953092,engineer
77156708,manager
65864767,manager
11262933,manager
41152404,engineer
63158213,configuration of mpls wan routers  cisco call manager and
24964303,manager
15423153,manager
14752209,manager
14055971,director
10235211,specialist
14726000,manager
33424600,manager
12230301,manager
35673335,manager
18236085,manager
24412546,manager
28396528,manager
28230807,manager
21611637,manager
25924968,manager
24709432,manager
27298953,partner with teacher in
23568731,lead
21101152,consultant
57262959,manager
34252537,manager
10100240,lead
23818675,manager
32773331,*efficient management and leadership ability
90032884,manager
45475027,*leader worksite safety
12654876,*electrical engineering technology
61065616,engineer
78298706,lead
13313917,manager
51432451,manager
17983957,manager
17025292,director
95429627,manager
71888547,manager
34875813,manager
15083600,developer
29196643,manager
29647215,manager
37818861,"of the house manager, kitchen manager, and bar manager."
38399177,manager
99714410,engineer
12374933,manager
22259768,engineer
57364820,manager
39308779,manager
91189201,manager
31016926,manager
15699744,manager
30083884,"architect, state of texas license #6624"
20314980,manager
29147100,lead
54201930,coordinator
32532982,engineer
18979238,engineer
22496394,manager
25422388,manager
12415691,manager
30968749,manager
26924514,manager
21283733,manager
25723793,manager
26160200,manager
11005406,manager
12085736,engineer
21125113,manager
30999638,director
31909493,developer
24658786,manager
18927233,coordinator
34583750,manager
32985311,developer
25797445,engineer
12011623,manager
25608963,engineer
13264796,manager
20566550,manager
54227873,engineer
74512244,manager
70541112,manager
22720697,manager
33685988,analyst
28398216,director
12071138,manager
66741193,manager
26961846,manager
27409087,manager
76454959,manager
14106638,manager
29998869,manager
15792052,manager
14408510,manager
17660419,specialist
26459032,manager
19975121,coordinator
10333051,manager
38642923,manager
12938389,manager
20279756,manager
10268614,engineer
26908066,manager
22008817,manager
24548333,director
27090089,manager
85421438,consultant
15680735,manager
31395710,lead
39082090,manager
20748468,manager
18949843,manager
21866029,manager
15576950,manager
22323967,manager
28640735,manager
14640322,manager
21830565,manager
57667857,manager
93002334,manager
16861758,manager
17422560,coordinator
