raw_title,normalized_title,normalization_path,ontology_match_score,ontology_source
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Senior Software Engineer,Senior Software Engineer,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Senior Software Engineer,Senior Software Engineer,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Sample text for C:\Users\krish\Documents\signalhire\backend\uploads\522cc1b7,Sample text for C:\Users\krish\Documents\signalhire\backend\uploads\522cc1b7,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
cto,CTO,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Copyright (c),Copyright (c),ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Copyright (c),Copyright (c),ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Copyright (C),Copyright (C),ontology_match,1.0,title_ontology.json
Copyright (c),Copyright (c),ontology_match,1.0,title_ontology.json
Copyright (c),Copyright (c),ontology_match,1.0,title_ontology.json
Copyright (C),Copyright (C),ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Copyright,Copyright,ontology_match,1.0,title_ontology.json
0.9.0 thru 1.2,0.9.0 thru 1.2,ontology_match,1.0,title_ontology.json
Copyright (c),Copyright (c),ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Copyright (c),Copyright (c),ontology_match,1.0,title_ontology.json
Copyright,Copyright,ontology_match,1.0,title_ontology.json
0.9.0 thru 1.2,0.9.0 thru 1.2,ontology_match,1.0,title_ontology.json
Copyright (c),Copyright (c),ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Software Professional,Software Professional,ontology_match,1.0,title_ontology.json
Copyright (c),Copyright (c),ontology_match,1.0,title_ontology.json
