resume_id,cluster
11759079,E - Over-normalization
13072019,E - Over-normalization
80053367,E - Over-normalization
36425270,E - Over-normalization
23636277,E - Over-normalization
39674178,E - Over-normalization
24703009,E - Over-normalization
14496667,E - Over-normalization
13491889,E - Over-normalization
18132924,E - Over-normalization
82649935,E - Over-normalization
43685045,E - Over-normalization
28111403,E - Over-normalization
30741799,E - Over-normalization
72652441,E - Over-normalization
17254634,E - Over-normalization
24695561,E - Over-normalization
19234823,E - Over-normalization
40088790,E - Over-normalization
32965335,E - Over-normalization
23577836,E - Over-normalization
20765795,E - Over-normalization
19108760,E - Over-normalization
24068423,E - Over-normalization
18264694,E - Over-normalization
26070334,E - Over-normalization
28733974,E - Over-normalization
19851252,E - Over-normalization
26921245,E - Over-normalization
62994611,E - Over-normalization
30344127,E - Over-normalization
19070271,E - Over-normalization
20905088,E - Over-normalization
21807211,E - Over-normalization
16500168,E - Over-normalization
35121930,E - Over-normalization
27091280,E - Over-normalization
78273826,E - Over-normalization
14304010,E - Over-normalization
27096796,E - Over-normalization
24349611,E - Over-normalization
73497035,E - Over-normalization
18029935,E - Over-normalization
34304175,E - Over-normalization
11995013,E - Over-normalization
99033098,E - Over-normalization
20148147,E - Over-normalization
16887936,E - Over-normalization
36379931,E - Over-normalization
33344933,E - Over-normalization
84295343,E - Over-normalization
24592627,E - Over-normalization
15210069,E - Over-normalization
17483843,E - Over-normalization
36252245,E - Over-normalization
25625173,E - Over-normalization
30148777,E - Over-normalization
11137306,E - Over-normalization
11333001,E - Over-normalization
27902692,E - Over-normalization
17008356,E - Over-normalization
12043694,E - Over-normalization
22168194,E - Over-normalization
31536294,E - Over-normalization
38663892,E - Over-normalization
82738323,E - Over-normalization
21796843,E - Over-normalization
27606527,E - Over-normalization
26987539,E - Over-normalization
25200253,E - Over-normalization
11842348,E - Over-normalization
13393401,E - Over-normalization
15856762,E - Over-normalization
45167858,E - Over-normalization
34953092,E - Over-normalization
77156708,E - Over-normalization
65864767,E - Over-normalization
11262933,E - Over-normalization
41152404,E - Over-normalization
63158213,E - Over-normalization
24964303,E - Over-normalization
15423153,E - Over-normalization
14752209,E - Over-normalization
14055971,E - Over-normalization
10235211,E - Over-normalization
14726000,E - Over-normalization
33424600,E - Over-normalization
12230301,E - Over-normalization
35673335,E - Over-normalization
18236085,E - Over-normalization
24412546,E - Over-normalization
28396528,E - Over-normalization
28230807,E - Over-normalization
21611637,E - Over-normalization
25924968,E - Over-normalization
24709432,E - Over-normalization
27298953,E - Over-normalization
23568731,E - Over-normalization
21101152,E - Over-normalization
57262959,E - Over-normalization
34252537,E - Over-normalization
10100240,E - Over-normalization
23818675,E - Over-normalization
32773331,E - Over-normalization
90032884,E - Over-normalization
45475027,E - Over-normalization
12654876,E - Over-normalization
61065616,E - Over-normalization
78298706,E - Over-normalization
13313917,E - Over-normalization
51432451,E - Over-normalization
17983957,E - Over-normalization
17025292,E - Over-normalization
95429627,E - Over-normalization
71888547,E - Over-normalization
34875813,E - Over-normalization
15083600,E - Over-normalization
29196643,E - Over-normalization
29647215,E - Over-normalization
37818861,E - Over-normalization
38399177,E - Over-normalization
99714410,E - Over-normalization
12374933,E - Over-normalization
22259768,E - Over-normalization
57364820,E - Over-normalization
39308779,E - Over-normalization
91189201,E - Over-normalization
31016926,E - Over-normalization
15699744,E - Over-normalization
30083884,E - Over-normalization
20314980,E - Over-normalization
29147100,E - Over-normalization
54201930,E - Over-normalization
32532982,E - Over-normalization
18979238,E - Over-normalization
22496394,E - Over-normalization
25422388,E - Over-normalization
12415691,E - Over-normalization
30968749,E - Over-normalization
26924514,E - Over-normalization
21283733,E - Over-normalization
25723793,E - Over-normalization
26160200,E - Over-normalization
11005406,E - Over-normalization
12085736,E - Over-normalization
21125113,E - Over-normalization
30999638,E - Over-normalization
31909493,E - Over-normalization
24658786,E - Over-normalization
18927233,E - Over-normalization
34583750,E - Over-normalization
32985311,E - Over-normalization
25797445,E - Over-normalization
12011623,E - Over-normalization
25608963,E - Over-normalization
13264796,E - Over-normalization
20566550,E - Over-normalization
54227873,E - Over-normalization
74512244,E - Over-normalization
70541112,E - Over-normalization
22720697,E - Over-normalization
33685988,E - Over-normalization
28398216,E - Over-normalization
12071138,E - Over-normalization
66741193,E - Over-normalization
26961846,E - Over-normalization
27409087,E - Over-normalization
76454959,E - Over-normalization
14106638,E - Over-normalization
29998869,E - Over-normalization
15792052,E - Over-normalization
14408510,E - Over-normalization
17660419,E - Over-normalization
26459032,E - Over-normalization
19975121,E - Over-normalization
10333051,E - Over-normalization
38642923,E - Over-normalization
12938389,E - Over-normalization
20279756,E - Over-normalization
10268614,E - Over-normalization
26908066,E - Over-normalization
22008817,E - Over-normalization
24548333,E - Over-normalization
27090089,E - Over-normalization
85421438,E - Over-normalization
15680735,E - Over-normalization
31395710,E - Over-normalization
39082090,E - Over-normalization
20748468,E - Over-normalization
18949843,E - Over-normalization
21866029,E - Over-normalization
15576950,E - Over-normalization
22323967,E - Over-normalization
28640735,E - Over-normalization
14640322,E - Over-normalization
21830565,E - Over-normalization
57667857,E - Over-normalization
93002334,E - Over-normalization
16861758,E - Over-normalization
17422560,E - Over-normalization
