candidate_id,title,final_score,title_similarity_contrib,semantic_sim_contrib,bm25_contrib,skill_coverage_contrib,seniority_contrib,quality_contrib,trap_penalty_contrib
CAND_0035879,ai research engineer,10.2848,4.95,1.3625,0.31,0.615,0.836,2.2113,-0.0
CAND_0059017,ai research engineer,9.7566,4.95,0.8175000000000001,0.18600000000000003,0.9225,0.726,2.1546000000000003,-0.0
CAND_0076412,ai research engineer,9.54355,4.95,1.09,0.248,0.615,0.8140000000000001,1.8265500000000001,-0.0
CAND_0014743,ai research engineer,9.50233,4.95,1.3625,0.31,0.9225,0.748,1.20933,-0.0
CAND_0040677,ai research engineer,9.459266666666666,4.95,1.09,0.248,0.615,0.8066666666666668,1.7496000000000003,-0.0
CAND_0094685,ai research engineer,9.286376666666667,4.95,0.8175000000000001,0.18600000000000003,0.615,0.7406666666666667,1.97721,-0.0
CAND_0075481,ai research engineer,9.269073333333333,4.95,0.8175000000000001,0.18600000000000003,0.3075,0.7773333333333333,2.23074,-0.0
CAND_0021491,ai research engineer,9.214590000000001,4.95,0.8175000000000001,0.18600000000000003,0.615,0.792,1.8540900000000002,-0.0
CAND_0091254,ai research engineer,9.021956666666666,4.95,1.09,0.248,0.9225,0.8726666666666667,0.9387900000000001,-0.0
CAND_0043936,ai research engineer,9.005106666666666,4.95,1.09,0.248,0.9225,0.7626666666666667,1.03194,-0.0
CAND_0070333,ai research engineer,8.996206666666666,4.95,1.09,0.248,0.615,0.8506666666666667,1.2425400000000002,-0.0
CAND_0054318,ai research engineer,8.99155,4.95,1.09,0.248,0.615,0.748,1.3405500000000001,-0.0
CAND_0046459,ai research engineer,8.982336666666667,4.95,0.8175000000000001,0.18600000000000003,0.615,0.8286666666666667,1.58517,-0.0
CAND_0048509,ai research engineer,8.940086666666668,4.95,0.8175000000000001,0.18600000000000003,0.615,0.8066666666666668,1.56492,-0.0
CAND_0068596,ai research engineer,8.932870000000001,4.95,0.545,0.124,0.615,0.8140000000000001,1.88487,-0.0
CAND_0080315,ai research engineer,8.93238,4.95,1.09,0.248,0.9225,0.792,0.92988,-0.0
CAND_0097896,ai research engineer,8.864806666666667,4.95,0.8175000000000001,0.18600000000000003,0.0,0.8506666666666667,2.0606400000000002,-0.0
CAND_0069248,ai research engineer,8.850810000000001,4.95,0.545,0.124,0.3075,0.858,2.06631,-0.0
CAND_0025640,ai research engineer,8.84462,4.95,1.3625,0.31,0.615,0.836,0.77112,-0.0
CAND_0011643,ai research engineer,8.815633333333334,4.95,0.545,0.124,0.3075,0.7993333333333333,2.0898000000000003,-0.0
CAND_0000705,ai research engineer,8.765963333333334,4.95,0.545,0.124,0.3075,0.7553333333333334,2.08413,-0.0
CAND_0058300,ai research engineer,8.765183333333333,4.95,1.09,0.248,0.615,0.8213333333333334,1.0408500000000003,-0.0
