candidate_id,title,final_score,title_similarity_contrib,semantic_sim_contrib,bm25_contrib,skill_coverage_contrib,seniority_contrib,quality_contrib,trap_penalty_contrib
CAND_0097677,frontend engineer,7.492366666666667,2.475,1.6350000000000002,0.37200000000000005,0.615,0.7186666666666667,1.6767000000000003,-0.0
CAND_0048828,frontend engineer,7.353350000000001,2.475,1.6350000000000002,0.37200000000000005,0.615,0.77,1.48635,-0.0
CAND_0056054,frontend engineer,7.279536666666667,2.475,1.6350000000000002,0.37200000000000005,0.3075,0.5646666666666668,1.92537,-0.0
CAND_0095591,frontend engineer,7.277673333333333,2.475,1.6350000000000002,0.37200000000000005,0.615,0.7113333333333334,1.46934,-0.0
CAND_0056173,frontend engineer,7.26418,2.475,1.3625,0.31,0.615,0.616,1.88568,-0.0
CAND_0016172,frontend engineer,7.166963333333334,2.475,1.6350000000000002,0.37200000000000005,0.615,0.7553333333333333,1.3146300000000002,-0.0
CAND_0042312,frontend engineer,7.137556666666667,2.475,1.6350000000000002,0.37200000000000005,0.615,0.8506666666666667,1.18989,-0.0
CAND_0075423,frontend engineer,7.11103,2.475,1.3625,0.31,0.615,0.88,1.4685300000000001,-0.0
CAND_0074475,frontend engineer,7.056193333333334,2.475,1.3625,0.31,0.3075,0.7333333333333334,1.86786,-0.0
CAND_0091395,frontend engineer,7.037696666666667,2.475,1.6350000000000002,0.37200000000000005,0.615,0.6746666666666667,1.26603,-0.0
CAND_0036862,frontend engineer,6.999463333333333,2.475,1.3625,0.31,0.3075,0.8653333333333333,1.67913,-0.0
CAND_0031288,frontend engineer,6.99227,2.475,1.09,0.248,0.9225,0.7040000000000001,1.55277,-0.0
CAND_0000158,frontend engineer,6.967786666666666,2.475,1.3625,0.31,0.3075,0.8506666666666667,1.66212,-0.0
CAND_0006421,frontend engineer,6.92492,2.475,1.3625,0.31,0.615,0.638,1.52442,-0.0
CAND_0061861,frontend engineer,6.924500000000001,2.475,1.09,0.248,0.615,0.836,1.6604999999999999,-0.0
CAND_0043771,frontend engineer,6.922373333333334,2.475,1.3625,0.31,0.615,0.7553333333333333,1.4045400000000001,-0.0
CAND_0033115,frontend engineer,6.916293333333334,2.475,1.6350000000000002,0.37200000000000005,0.3075,0.7773333333333333,1.34946,-0.0
