candidate_id,title,final_score,title_similarity_contrib,semantic_sim_contrib,bm25_contrib,skill_coverage_contrib,seniority_contrib,quality_contrib,trap_penalty_contrib
CAND_0044518,sales executive,6.749713333333334,2.475,1.09,0.248,0.615,0.8653333333333333,1.4563800000000002,-0.0
CAND_0099468,sales executive,6.74416,2.475,1.3625,0.31,0.615,0.616,1.36566,-0.0
CAND_0018657,sales executive,6.614386666666668,2.475,0.8175000000000001,0.18600000000000003,0.615,0.8506666666666667,1.6702200000000003,-0.0
CAND_0084501,sales executive,6.572136666666667,2.475,0.8175000000000001,0.18600000000000003,0.615,0.8286666666666667,1.64997,-0.0
CAND_0064228,sales executive,6.508016666666668,2.475,1.09,0.248,0.615,0.6746666666666666,1.40535,-0.0
CAND_0029435,sales executive,6.464246666666668,2.475,1.09,0.248,0.615,0.8066666666666668,1.2295800000000001,-0.0
CAND_0094960,sales executive,6.459476666666668,2.475,1.09,0.248,0.615,0.41066666666666657,1.6208100000000003,-0.0
CAND_0071662,sales executive,6.452096666666668,2.475,1.09,0.248,0.615,0.8066666666666668,1.2174300000000002,-0.0
CAND_0073274,sales executive,6.444416666666667,2.475,0.8175000000000001,0.18600000000000003,0.615,0.8726666666666667,1.47825,-0.0
CAND_0038295,sales executive,6.442630000000001,2.475,1.09,0.248,0.0,0.748,1.8816300000000001,-0.0
CAND_0086783,sales executive,6.431820000000001,2.475,1.09,0.248,0.615,0.528,1.4758200000000001,-0.0
CAND_0073872,sales executive,6.431716666666667,2.475,1.09,0.248,0.615,0.7846666666666667,1.21905,-0.0
CAND_0026817,sales executive,6.411640000000001,2.475,1.09,0.248,0.615,0.8140000000000001,1.16964,-0.0
CAND_0050648,sales executive,6.398276666666669,2.475,1.09,0.248,0.615,0.6086666666666667,1.3616100000000002,-0.0
CAND_0036442,sales executive,6.398260000000001,2.475,1.09,0.248,0.615,0.88,1.0902600000000002,-0.0
CAND_0085994,sales executive,6.387530000000001,2.475,1.09,0.248,0.615,0.5720000000000001,1.3875300000000002,-0.0
CAND_0017746,sales executive,6.385836666666667,2.475,1.09,0.248,0.615,0.6966666666666667,1.2611700000000001,-0.0
CAND_0007053,sales executive,6.385390000000001,2.475,1.09,0.248,0.615,0.48400000000000004,1.47339,-0.0
CAND_0038965,sales executive,6.379980000000001,2.475,0.8175000000000001,0.18600000000000003,0.615,0.66,1.6264800000000001,-0.0
CAND_0022052,sales executive,6.363693333333335,2.475,1.09,0.248,0.615,0.5133333333333333,1.42236,-0.0
CAND_0097857,sales executive,6.359293333333334,2.475,1.09,0.248,0.615,0.8653333333333333,1.06596,-0.0
CAND_0085058,sales executive,6.319840000000001,2.475,1.09,0.248,0.615,0.22,1.6718400000000002,-0.0
CAND_0059316,sales executive,6.316436666666667,2.475,0.8175000000000001,0.18600000000000003,0.615,0.8726666666666667,1.35027,-0.0
CAND_0017945,sales executive,6.311736666666667,2.475,1.09,0.248,0.615,0.6306666666666666,1.2530700000000001,-0.0
CAND_0030706,sales executive,6.305346666666668,2.475,1.09,0.248,0.615,0.2346666666666666,1.6426800000000001,-0.0
CAND_0002603,sales executive,6.303983333333334,2.475,0.8175000000000001,0.18600000000000003,0.615,0.8213333333333334,1.38915,-0.0
CAND_0066395,sales executive,6.298326666666668,2.475,1.09,0.248,0.615,0.8286666666666667,1.04166,-0.0
CAND_0026186,sales executive,6.265263333333334,2.475,1.3625,0.31,0.615,0.4473333333333334,1.05543,-0.0
CAND_0002493,sales executive,6.262820000000001,2.475,1.09,0.248,0.615,0.44,1.3948200000000002,-0.0
CAND_0023857,sales executive,6.260503333333334,2.475,1.09,0.248,0.615,0.7333333333333333,1.09917,-0.0
CAND_0023930,sales executive,6.250350000000001,2.475,0.8175000000000001,0.18600000000000003,0.615,0.792,1.3648500000000001,-0.0
CAND_0063993,sales executive,6.246616666666667,2.475,1.09,0.248,0.615,0.8506666666666667,0.96795,-0.0
CAND_0077426,sales executive,6.244853333333334,2.475,0.8175000000000001,0.18600000000000003,0.615,0.8213333333333334,1.33002,-0.0
CAND_0035402,sales executive,6.241063333333334,2.475,0.8175000000000001,0.18600000000000003,0.615,0.8653333333333333,1.28223,-0.0
CAND_0087405,sales executive,6.234626666666668,2.475,1.09,0.248,0.615,0.7406666666666667,1.06596,-0.0
CAND_0046681,sales executive,6.233513333333334,2.475,1.09,0.248,0.615,0.6893333333333334,1.11618,-0.0
CAND_0089376,sales executive,6.222333333333333,2.475,0.8175000000000001,0.18600000000000003,0.615,0.7113333333333334,1.4175,-0.0
CAND_0090771,sales executive,6.221276666666667,2.475,0.8175000000000001,0.18600000000000003,0.615,0.8066666666666668,1.32111,-0.0
CAND_0015992,sales executive,6.216143333333334,2.475,0.8175000000000001,0.18600000000000003,0.615,0.6233333333333334,1.4993100000000001,-0.0
CAND_0034834,sales executive,6.213913333333334,2.475,1.09,0.248,0.615,0.7993333333333333,0.98658,-0.0
CAND_0001783,sales executive,6.203126666666668,2.475,1.09,0.248,0.615,0.3446666666666666,1.43046,-0.0
CAND_0050028,sales executive,6.198810000000001,2.475,1.09,0.248,0.3075,0.66,1.4183100000000002,-0.0
CAND_0010658,sales executive,6.198033333333334,2.475,1.09,0.248,0.615,0.5793333333333335,1.1907,-0.0
CAND_0051391,sales executive,6.1923900000000005,2.475,1.09,0.248,0.615,0.858,0.90639,-0.0
CAND_0079310,sales executive,6.192203333333334,2.475,0.8175000000000001,0.18600000000000003,0.615,0.8213333333333334,1.2773700000000001,-0.0
CAND_0015612,sales executive,6.189353333333335,2.475,1.09,0.248,0.615,0.7553333333333333,1.0060200000000001,-0.0
